CALDAY,IS_MBS,CITY,BUSINESS_UNIT,VALUE_TRANSACTIONS_TOTAL,VALUE_SALE_AMOUNT_TOTAL
2023-03-08,1,HÀ NỘI,2000,47260,6147271346
2022-07-07,0,HỒ CHÍ MINH,2000,104153,13320668241
2022-01-09,0,HỒ CHÍ MINH,1500,13859,5653485819
2024-03-17,0,HỒ CHÍ MINH,1500,11367,2392820255
2022-07-05,0,HỒ CHÍ MINH,2000,110718,14030620215
2023-01-18,0,HÀ NỘI,1500,57874,35243479011
2024-04-14,1,HỒ CHÍ MINH,1500,6627,2276119482
2024-04-06,0,HỒ CHÍ MINH,2000,76634,8019226469
2024-01-08,0,HÀ NỘI,1500,20193,4347444544
2023-12-10,1,HÀ NỘI,2000,110333,14374790164
2024-04-02,1,HÀ NỘI,2000,77718,9253091496
2024-04-16,0,HÀ NỘI,1500,19951,4715490232
2023-08-25,1,HỒ CHÍ MINH,2000,34177,4729466883
2024-04-18,1,HÀ NỘI,2000,83322,11037272628
2024-01-27,1,HÀ NỘI,2000,96569,14492304414
2023-04-06,1,HỒ CHÍ MINH,2000,26622,3937303236
2022-01-03,0,HỒ CHÍ MINH,1500,11990,4162890933
2023-01-12,1,HỒ CHÍ MINH,1500,2950,830805949
2023-10-06,1,HÀ NỘI,1500,17413,5182683342
2024-01-13,1,HỒ CHÍ MINH,1009,217,98745622
2024-02-14,1,HỒ CHÍ MINH,2000,39187,5299131741
2024-01-17,0,HỒ CHÍ MINH,1500,8703,2198985452
2022-11-28,1,HÀ NỘI,2000,6701,871152559
2023-10-12,1,HỒ CHÍ MINH,1500,5405,1456199182
2024-01-06,1,HỒ CHÍ MINH,1500,6307,2251960583
2023-11-02,0,HỒ CHÍ MINH,1500,7124,1318843387
2022-09-08,0,HỒ CHÍ MINH,1500,13899,3753184449
2023-11-14,1,HÀ NỘI,1009,80,25916080
2023-10-19,0,HÀ NỘI,1009,46,2020858
2023-03-18,1,HÀ NỘI,1009,76,13143966
2023-12-04,1,HỒ CHÍ MINH,1009,321,16096891
2022-02-25,0,HÀ NỘI,1500,33870,11194611211
2024-03-26,1,HỒ CHÍ MINH,1009,86,10686627
2023-04-03,0,HỒ CHÍ MINH,1009,144,7082195
2023-03-07,1,HÀ NỘI,1009,41,4007550
2024-01-18,0,HỒ CHÍ MINH,1009,48,76566440
2022-12-10,0,HÀ NỘI,1009,55,4070115
2023-02-21,0,HỒ CHÍ MINH,1009,162,8706350
2023-11-02,1,HỒ CHÍ MINH,2000,39692,5258609087
2023-08-29,1,HỒ CHÍ MINH,1009,120,20725548
