CALDAY,IS_MBS,CITY,BUSINESS_UNIT,MCH5_NAME,VALUE_TRANSACTIONS_MCH5,VALUE_SALE_AMOUNT_MCH5
2023-01-21,0,HÀ NỘI,1500,Gà nội địa,778,68256767
2022-09-21,0,HÀ NỘI,2000,Gà nội địa,6672,423935278
2023-10-07,0,HỒ CHÍ MINH,1500,Gà nội địa,338,32814117
2023-09-11,1,HỒ CHÍ MINH,2000,Gà nội địa,2723,173774176
2022-08-03,0,HÀ NỘI,2000,Gà nội địa,6948,444411931
2022-12-17,0,HỒ CHÍ MINH,2000,Gà nội địa,2835,191555279
2022-10-15,1,HỒ CHÍ MINH,2000,Gà nội địa,195,14299870
2024-01-18,0,HỒ CHÍ MINH,1500,Gà nội địa,266,23116048
2022-08-09,0,HỒ CHÍ MINH,1500,Gà nội địa,837,62297637
2022-12-11,0,HỒ CHÍ MINH,1500,Gà nội địa,1077,88566321
2022-05-16,0,HỒ CHÍ MINH,1500,Gà nội địa,857,66204723
2023-07-20,1,HỒ CHÍ MINH,2000,Gà nội địa,2318,156550864
2022-11-07,1,HỒ CHÍ MINH,2000,Gà nội địa,344,21155016
2022-08-06,0,HỒ CHÍ MINH,1500,Gà nội địa,998,85446570
2023-02-10,1,HÀ NỘI,2000,Gà nội địa,3915,212884315
2022-10-22,0,HỒ CHÍ MINH,2000,Gà nội địa,2930,192088592
2023-12-04,1,HỒ CHÍ MINH,2000,Gà nội địa,3235,205940876
2022-10-09,0,HÀ NỘI,1500,Gà nội địa,5088,365362125
2024-01-20,1,HÀ NỘI,2000,Gà nội địa,6793,412339409
2024-04-14,0,HÀ NỘI,1500,Gà nội địa,1102,82615812
2023-10-18,1,HÀ NỘI,1500,Gà nội địa,2209,146564130
2024-02-28,0,HỒ CHÍ MINH,2000,Gà nội địa,790,50110982
2023-09-03,1,HÀ NỘI,1500,Gà nội địa,1853,134794288
2023-02-05,1,HỒ CHÍ MINH,1500,Gà nội địa,291,21774606
2023-11-01,1,HÀ NỘI,2000,Gà nội địa,7790,448038285
2023-05-25,1,HÀ NỘI,1500,Gà nội địa,1862,131498843
2023-09-25,0,HỒ CHÍ MINH,1500,Gà nội địa,292,25446586
2023-12-29,1,HÀ NỘI,1500,Gà nội địa,1963,144644999
2024-01-02,0,HÀ NỘI,2000,Gà nội địa,243,15601893
2023-08-11,1,HỒ CHÍ MINH,2000,Gà nội địa,2263,150742845
2023-11-04,0,HÀ NỘI,2000,Gà nội địa,341,23620710
2023-05-17,0,HỒ CHÍ MINH,1500,Gà nội địa,368,36175934
2023-12-20,1,HỒ CHÍ MINH,1500,Gà nội địa,459,34801980
2022-11-22,1,HÀ NỘI,2000,Gà nội địa,453,29522759
2022-01-04,0,HỒ CHÍ MINH,1500,Gà nội địa,751,59738383
2023-02-01,0,HỒ CHÍ MINH,1500,Gà nội địa,516,38014626
2023-10-13,1,HỒ CHÍ MINH,1500,Gà nội địa,477,40210176
2022-11-08,1,HỒ CHÍ MINH,2000,Gà nội địa,348,22126630
2023-07-08,1,HỒ CHÍ MINH,1500,Gà nội địa,608,52524360
2023-04-03,1,HÀ NỘI,2000,Gà nội địa,5536,303471935
2023-10-25,1,HÀ NỘI,2000,Gà nội địa,7249,424608958
2023-10-13,1,HÀ NỘI,2000,Gà nội địa,6295,366177883
2023-10-13,0,HÀ NỘI,1500,Gà nội địa,1114,76509418
2023-09-21,1,HỒ CHÍ MINH,1500,Gà nội địa,474,37364777
2022-08-25,0,HỒ CHÍ MINH,1500,Gà nội địa,771,61200030
2022-11-13,0,HÀ NỘI,1500,Gà nội địa,4436,339836497
2024-02-20,0,HỒ CHÍ MINH,1500,Gà nội địa,306,24765752
2023-06-28,1,HÀ NỘI,2000,Gà nội địa,6958,382401222
2023-09-04,1,HÀ NỘI,2000,Gà nội địa,7365,421664906
2022-12-02,0,HỒ CHÍ MINH,2000,Gà nội địa,2898,190351394
2023-07-14,0,HÀ NỘI,1500,Gà nội địa,1093,78916275
2023-01-06,1,HÀ NỘI,1500,Gà nội địa,917,70390848
2024-03-11,0,HÀ NỘI,2000,Gà nội địa,319,21042163
2023-03-26,1,HỒ CHÍ MINH,2000,Gà nội địa,1956,131962602
2023-02-12,1,HỒ CHÍ MINH,1500,Gà nội địa,353,29970417
2023-01-06,1,HÀ NỘI,2000,Gà nội địa,3051,179229624
2023-10-12,0,HỒ CHÍ MINH,2000,Gà nội địa,1046,64611531
2023-03-01,1,HỒ CHÍ MINH,2000,Gà nội địa,1789,115920593
2023-06-10,0,HÀ NỘI,1500,Gà nội địa,1272,93242137
2023-01-31,0,HỒ CHÍ MINH,1500,Gà nội địa,524,41818913
